cd_cvm,company_name,issuing_code,nome_pregao,fonte,confianca,ticker_b3,yf_validado
2577,CESP CIA ENERGETICA SAO PAULO,CESP,CESP - CIA ENERGETICA DE SAO PAULO,cvm_code,1.0,,
3190,REDE ENERGIA PARTICIPAÇÕES S.A.,REDE,REDE ENERGIA PARTICIPAÇÕES S.A.,cvm_code,1.0,,
3204,CPFL TRANSMISSÃO S.A.,EEEL,CPFL TRANSMISSÃO S.A.,cvm_code,1.0,,
3328,CHESF,CHSF,AXIA ENERGIA NORDESTE S.A.,cvm_code,1.0,,
3395,COMPANHIA INDUSTRIAL CATAGUASES,CATA,CIA INDUSTRIAL CATAGUASES,cvm_code,1.0,,
6173,TAURUS ARMAS S.A.,TASA,TAURUS ARMAS S.A.,cvm_code,1.0,,
6211,FRASLE MOBILITY S.A.,FRAS,FRASLE MOBILITY S.A.,cvm_code,1.0,,
6343,TUPY,TUPY,TUPY S.A.,cvm_code,1.0,,
7510,ROMI S.A.,ROMI,ROMI S.A.,cvm_code,1.0,,
7544,RENAUXVIEW,TXRX,TEXTIL RENAUXVIEW S.A.,cvm_code,1.0,,
8192,TREVISA INVESTIMENTOS SA,LUXM,TREVISA INVESTIMENTOS S.A.,cvm_code,1.0,,
9067,SUZANO HOLDING S.A.,NEMO,SUZANO HOLDING S.A.,cvm_code,1.0,,
9539,PETTENATI,PTNT,PETTENATI S.A. INDUSTRIA TEXTIL,cvm_code,1.0,,
9989,REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,RPMG,REFINARIA DE PETROLEOS MANGUINHOS S.A.,cvm_code,1.0,,
10880,SONDOTECNICA S/A.,SOND,SONDOTECNICA ENGENHARIA SOLOS S.A.,cvm_code,1.0,,
11070,WLM,WLMM,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,cvm_code,1.0,,
11231,TEKNO,TKNO,TEKNO S.A. - INDUSTRIA E COMERCIO,cvm_code,1.0,,
11592,UNIPAR CARBOCLORO S.A.,UNIP,UNIPAR CARBOCLORO S.A.,cvm_code,1.0,,
11762,VULCABRAS S/A.,VULC,VULCABRAS S.A.,cvm_code,1.0,,
11991,WETZEL S.A.,MWET,WETZEL S.A.,cvm_code,1.0,,
12572,RECRUSUL,RCSL,RECRUSUL S.A.,cvm_code,1.0,,
12696,SANSUY S.A. INDÚSTRIA DE PLÁSTICOS,SNSY,SANSUY S.A. INDUSTRIA DE PLASTICOS,cvm_code,1.0,,
12823,ALIPERTI S.A.,APTI,ALIPERTI S.A.,cvm_code,1.0,,
13471,PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,PLAS,PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,cvm_code,1.0,,
13781,SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,SCAR,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,cvm_code,1.0,,
14346,WHIRLPOOL S.A,WHRL,WHIRLPOOL S.A.,cvm_code,1.0,,
